,A_frozen_legacy_gross,A_frozen_legacy_legacy_cost,B_always_lp_gross,C_always_eth,D_always_usdc,E_buy_hold_5050
2026-03-14 00:00:00+00:00,9988.960058364795,9991.95824547586,10000.001174984149,10030.043540627417,10000.0,10015.02177031371
2026-03-15 00:00:00+00:00,10375.825083827078,10378.939388504565,10000.07801943897,10418.499698932232,10000.0,10209.249849466116
2026-03-16 00:00:00+00:00,11202.923313327623,11206.285871600758,10000.10945766155,11248.999691503466,10000.0,10624.499845751732
2026-03-17 00:00:00+00:00,11043.869408197792,11047.184226429366,10000.109302451301,11089.291615343616,10000.0,10544.645807671808
2026-03-18 00:00:00+00:00,10460.453486993114,10465.21056327115,9999.970542559202,10542.159973291347,10000.0,10271.079986645673
2026-03-19 00:00:00+00:00,10147.256079983386,10151.87072419984,9999.86475343372,10226.516184805298,10000.0,10113.258092402648
2026-03-20 00:00:00+00:00,10183.850202095846,10188.481488136713,9999.887558810338,10263.396143200162,10000.0,10131.69807160008
2026-03-21 00:00:00+00:00,9892.774101533318,9897.273015568057,9999.768961770484,9970.046450440896,10000.0,9985.023225220448
2026-03-22 00:00:00+00:00,10006.231213789379,10007.222375381756,9999.704680536424,9820.637098737168,10000.0,9910.318549368585
2026-03-23 00:00:00+00:00,10006.231213789379,10007.222375381756,10000.047758746518,10291.143367345718,10000.0,10145.571683672859
2026-03-24 00:00:00+00:00,10006.231213789379,10007.222375381756,10000.097070233607,10313.807671150946,10000.0,10156.903835575473
2026-03-25 00:00:00+00:00,10006.231213789379,10007.222375381756,10000.14511711334,10372.76128543678,10000.0,10186.38064271839
2026-03-26 00:00:00+00:00,10006.235427208961,10005.224474800634,9999.915670082166,9852.111896558828,10000.0,9926.055948279414
2026-03-27 00:00:00+00:00,10006.235427208961,10005.224474800634,9999.666104596097,9526.596493486872,10000.0,9763.298246743436
2026-03-28 00:00:00+00:00,10006.235427208961,10005.224474800634,9999.689308552262,9535.173860706102,10000.0,9767.58693035305
2026-03-29 00:00:00+00:00,10006.235427208961,10005.224474800634,9999.658742229349,9485.72211514062,10000.0,9742.86105757031
2026-03-30 00:00:00+00:00,10006.235427208961,10005.224474800634,9999.891810048826,9684.112904586265,10000.0,9842.056452293133
2026-03-31 00:00:00+00:00,10188.972649879826,10191.000509392785,10000.220588556744,10067.221579817438,10000.0,10033.610789908718
2026-04-01 00:00:00+00:00,10357.441043150831,10359.50243207305,10000.339234787076,10233.676894061024,10000.0,10116.838447030512
2026-04-02 00:00:00+00:00,9956.316537404906,9958.29809255263,10000.152560800161,9837.345544551845,10000.0,9918.672772275922
2026-04-03 00:00:00+00:00,9938.412181594615,9940.390173329275,10000.154172636341,9819.655133223847,10000.0,9909.827566611923
2026-04-04 00:00:00+00:00,9907.688517528924,9906.147376735033,10000.202874455925,9877.75943248377,10000.0,9938.879716241885
2026-04-05 00:00:00+00:00,9907.688517528924,9906.147376735033,10000.353395690398,10088.383899695804,10000.0,10044.191949847902
2026-04-06 00:00:00+00:00,9907.688517528924,9906.147376735033,10000.386215311037,10083.341220650518,10000.0,10041.670610325258
2026-04-07 00:00:00+00:00,9907.688517528924,9906.147376735033,10000.59980349401,10718.61150241619,10000.0,10359.305751208096
2026-04-08 00:00:00+00:00,9662.052632938683,9663.448612147276,10000.543321182502,10475.956435681912,10000.0,10237.978217840955
2026-04-09 00:00:00+00:00,9660.120512235031,9661.516212289656,10000.555551404203,10473.86155863157,10000.0,10236.930779315786
2026-04-10 00:00:00+00:00,9904.655247281271,9906.086277862325,10000.642069560168,10738.995203486937,10000.0,10369.497601743467
2026-04-11 00:00:00+00:00,10084.544191197841,10086.00121224232,10000.692982669836,10934.037479835792,10000.0,10467.018739917896
2026-04-12 00:00:00+00:00,9652.171969042362,9650.22448172654,10000.587149228795,10486.437107555324,10000.0,10243.218553777662
2026-04-13 00:00:00+00:00,9652.171969042362,9650.22448172654,10000.77670230852,11340.482018233717,10000.0,10670.241009116859
2026-04-14 00:00:00+00:00,9652.171969042362,9650.22448172654,10000.764324600941,11112.602430003624,10000.0,10556.301215001811
2026-04-15 00:00:00+00:00,9652.171969042362,9650.22448172654,10000.7975161556,11290.69599617904,10000.0,10645.34799808952
2026-04-16 00:00:00+00:00,9652.157231068455,9650.20973730545,10000.803726572738,11233.262897088274,10000.0,10616.631448544136
2026-04-17 00:00:00+00:00,9979.914090859711,9980.894619090943,10000.815397296785,11579.980155812706,10000.0,10789.990077906354
2026-04-18 00:00:00+00:00,9694.666918143184,9695.619420791912,10000.742268738988,11248.999691503466,10000.0,10624.499845751732
2026-04-19 00:00:00+00:00,9335.065764743797,9335.982936518965,10000.618437081013,10831.744173824602,10000.0,10415.8720869123
2026-04-20 00:00:00+00:00,9544.611095272263,9545.548854911256,10000.712318357075,11074.88562245543,10000.0,10537.442811227715
2026-04-21 00:00:00+00:00,9551.862364947914,9549.423294070524,10000.74138006085,11137.075842582783,10000.0,10568.53792129139
2026-04-22 00:00:00+00:00,9551.862364947914,9549.423294070524,10000.814370483677,11365.457292659934,10000.0,10682.728646329968
2026-04-23 00:00:00+00:00,9551.862364947914,9549.423294070524,10000.765935981995,11152.677887556423,10000.0,10576.338943778212
2026-04-24 00:00:00+00:00,9551.862364947914,9549.423294070524,10000.748744589448,11078.208420399811,10000.0,10539.104210199905
2026-04-25 00:00:00+00:00,9551.844539227814,9547.494959205753,10000.755050251868,11094.837370191348,10000.0,10547.418685095674
2026-04-26 00:00:00+00:00,9551.844539227814,9547.494959205753,10000.8274413233,11337.080553943782,10000.0,10668.540276971891
2026-04-27 00:00:00+00:00,9551.844539227814,9547.494959205753,10000.742059929587,11019.652154703825,10000.0,10509.826077351912
2026-04-28 00:00:00+00:00,9551.844539227814,9547.494959205753,10000.722877880375,10948.260260236728,10000.0,10474.130130118363
